"Ano-calendário";"CNPJ";"Razão Social";"Nome Fantasia";"Código CNAE";"CNAE";"Município";"UF";"Valor Renúncia Fiscal (R$)"
"2024";"33435231000187";"GE CELMA LTDA.";"GE CELMA";"00000";"Sem informação";"PETRÓPOLIS";"RJ";"2559674226,00"
"2024";"39522791000155";"MISC SERVICOS DE PETROLEO DO BRASIL LTDA.";"";"09106";"Atividades de apoio à extração de petróleo e gás natural";"RIO DE JANEIRO";"RJ";"2050046937,00"
"2024";"02012862006109";"TAM LINHAS AEREAS S/A.";"";"00000";"Sem informação";"SÃO CARLOS";"SP";"1620096934,00"
"2024";"00280273000137";"SAMSUNG ELETRONICA DA AMAZONIA LTDA";"SAMSUNG DA AMAZONIA";"26400";"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo";"MANAUS";"AM";"1292854454,00"
"2024";"16701716003686";"STELLANTIS AUTOMOVEIS BRASIL LTDA.";"";"29107";"Fabricação de automóveis, camionetas e utilitários";"GOIANA";"PE";"1102803243,00"
"2024";"33435231000420";"GE CELMA LTDA.";"";"00000";"Sem informação";"PETRÓPOLIS";"RJ";"1066448085,00"
"2024";"01135153000613";"COMEXPORT TRADING COMERCIO EXTERIOR LTDA";"";"46931";"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários";"CARIACICA";"ES";"1013925378,00"
"2024";"40278681000179";"TRANSOCEAN BRASIL LTDA";"";"09106";"Atividades de apoio à extração de petróleo e gás natural";"MACAÉ";"RJ";"953957372,00"
"2024";"33000167008862";"PETROLEO BRASILEIRO S A PETROBRAS";"PETROBRAS REFINARIA DUQUE DE CAXIAS";"19217";"Fabricação de produtos do refino de petróleo";"DUQUE DE CAXIAS";"RJ";"815531763,00"
"2024";"61064911000177";"CATERPILLAR BRASIL LTDA";"";"28534";"Fabricação de tratores, exceto agrícolas";"PIRACICABA";"SP";"705704251,00"
"2024";"59104901000176";"SCANIA LATIN AMERICA LTDA";"";"29204";"Fabricação de caminhões e ônibus";"SÃO BERNARDO DO CAMPO";"SP";"698949887,00"
"2024";"43999424000114";"VOLVO DO BRASIL VEICULOS LTDA";"";"29204";"Fabricação de caminhões e ônibus";"CURITIBA";"PR";"687330522,00"
"2024";"45056965000134";"YINSON BOUVARDIA SERVICOS DE OPERACAO LTDA.";"";"09106";"Atividades de apoio à extração de petróleo e gás natural";"RIO DE JANEIRO";"RJ";"633017228,00"
"2024";"07689002000189";"EMBRAER S.A.";"";"30415";"Fabricação de aeronaves";"SÃO JOSÉ DOS CAMPOS";"SP";"625342345,00"
"2024";"09296295001301";"AZUL LINHAS AEREAS BRASILEIRAS S.A.";"";"00000";"Sem informação";"BELO HORIZONTE";"MG";"618288536,00"
"2024";"59104273000129";"MERCEDES-BENZ DO BRASIL LTDA.";"";"29204";"Fabricação de caminhões e ônibus";"SÃO BERNARDO DO CAMPO";"SP";"594193836,00"
"2024";"00913443000173";"RENAULT DO BRASIL S.A";"";"29107";"Fabricação de automóveis, camionetas e utilitários";"SÃO JOSÉ DOS PINHAIS";"PR";"584962754,00"
"2024";"00394544000851";"MINISTERIO DA SAUDE";"DEPARTAMENTO DE LOGISTICA";"84116";"Administração pública em geral";"BRASÍLIA";"DF";"564414740,00"
"2024";"01166372000821";"LG ELECTRONICS DO BRASIL LTDA";"LG ELECTRONICS - MANAUS";"26400";"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo";"MANAUS";"AM";"524611346,00"
"2024";"60744463001080";"SYNGENTA PROTECAO DE CULTIVOS LTDA";"";"20517";"Fabricação de defensivos agrícolas";"PAULÍNIA";"SP";"506088866,00"
"2024";"07689002000421";"EMBRAER S.A.";"";"30415";"Fabricação de aeronaves";"GAVIÃO PEIXOTO";"SP";"470229695,00"
"2024";"02012862003185";"TAM LINHAS AEREAS S/A.";"LATAM AIRLINES BRASIL";"51111";"Transporte aéreo de passageiros regular";"FORTALEZA";"CE";"459672189,00"
"2024";"04337168000148";"MOTO HONDA DA AMAZONIA LTDA";"MOTO HONDA";"30911";"Fabricação de motocicletas";"MANAUS";"AM";"453750463,00"
"2024";"16701716000156";"STELLANTIS AUTOMOVEIS BRASIL LTDA.";"FIASA";"29107";"Fabricação de automóveis, camionetas e utilitários";"BETIM";"MG";"417000494,00"
"2024";"04817052000106";"YAMAHA MOTOR DA AMAZONIA LTDA";"";"30911";"Fabricação de motocicletas";"MANAUS";"AM";"404947150,00"
"2024";"33000167112848";"PETROLEO BRASILEIRO S A PETROBRAS";"";"46125";"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos";"CORUMBÁ";"MS";"378428220,00"
